"","age","training","passed"
"1",33,55,0
"2",29,56,0
"3",32,33,0
"4",31,47,0
"5",35,72,1
"6",27,74,1
"7",33,52,0
"8",29,56,0
"9",25,66,1
"10",36,70,1
"11",31,51,0
"12",27,43,0
"13",28,40,0
"14",33,53,0
"15",29,48,0
"16",28,54,0
"17",31,60,1
"18",23,74,1
"19",33,64,0
"20",32,68,0
"21",32,55,0
"22",30,63,1
"23",29,59,0
"24",27,53,0
"25",28,45,0
"26",25,56,0
"27",31,61,1
"28",30,72,1
"29",28,60,1
"30",27,55,0
"31",27,44,0
"32",40,61,1
"33",34,44,0
"34",29,63,1
"35",30,49,0
"36",37,77,1
"37",36,73,1
"38",30,52,0
"39",22,48,1
"40",35,61,1
"41",33,58,0
"42",26,70,1
"43",35,73,1
"44",27,34,0
"45",33,83,1
"46",35,65,1
"47",33,64,1
"48",24,69,1
"49",25,45,0
"50",32,59,0
