"","language","bugs"
"1","C",118
"2","C",82
"3","C",113
"4","C",95
"5","C",79
"6","C",89
"7","C",56
"8","C",83
"9","C",111
"10","C",122
"11","C",124
"12","C",106
"13","C",119
"14","C",106
"15","C",125
"16","C",109
"17","C",109
"18","C",107
"19","C",76
"20","C",99
"21","C",126
"22","C",98
"23","C",136
"24","C",75
"25","C",98
"26","C",99
"27","C",59
"28","C",103
"29","C",113
"30","C",101
"31","Scheme",105
"32","Scheme",82
"33","Scheme",101
"34","Scheme",136
"35","Scheme",110
"36","Scheme",122
"37","Scheme",123
"38","Scheme",108
"39","Scheme",122
"40","Scheme",120
"41","Scheme",138
"42","Scheme",79
"43","Scheme",99
"44","Scheme",134
"45","Scheme",113
"46","Scheme",92
"47","Scheme",93
"48","Scheme",75
"49","Scheme",75
"50","Scheme",99
"51","Scheme",120
"52","Scheme",124
"53","Scheme",88
"54","Scheme",108
"55","Scheme",145
"56","Scheme",109
"57","Scheme",92
"58","Scheme",135
"59","Scheme",103
"60","Scheme",128
"61","C++",167
"62","C++",136
"63","C++",158
"64","C++",153
"65","C++",152
"66","C++",168
"67","C++",146
"68","C++",169
"69","C++",107
"70","C++",156
"71","C++",143
"72","C++",153
"73","C++",138
"74","C++",140
"75","C++",139
"76","C++",162
"77","C++",200
"78","C++",144
"79","C++",181
"80","C++",142
"81","C++",161
"82","C++",144
"83","C++",120
"84","C++",175
"85","C++",133
"86","C++",162
"87","C++",169
"88","C++",190
"89","C++",132
"90","C++",160
