"","age","training","passed"
"1",33,49,0
"2",32,38,0
"3",29,59,1
"4",34,58,0
"5",26,58,0
"6",27,52,0
"7",22,55,0
"8",38,58,0
"9",29,65,1
"10",28,71,1
"11",30,47,0
"12",29,49,0
"13",34,54,0
"14",38,51,0
"15",27,61,1
"16",30,63,1
"17",15,53,0
"18",30,51,0
"19",33,43,0
"20",29,56,0
"21",27,72,1
"22",33,55,1
"23",34,52,0
"24",32,72,1
"25",30,68,0
"26",19,69,1
"27",27,58,0
"28",40,66,1
"29",27,57,1
"30",30,70,1
"31",33,62,1
"32",28,58,0
"33",38,48,0
"34",30,62,1
"35",26,59,0
"36",29,48,0
"37",23,81,1
"38",34,59,1
"39",29,64,1
"40",33,67,1
"41",34,86,1
"42",23,60,0
"43",23,62,1
"44",18,52,0
"45",24,58,1
"46",30,57,0
"47",29,64,1
"48",31,57,1
"49",40,71,1
"50",30,68,1
