"","participant","interface","time"
"1","1","blue","422"
"2","2","blue","609"
"3","3","blue","1004"
"4","4","blue","598"
"5","5","blue","527"
"6","6","blue","574"
"7","7","blue","1267"
"8","8","blue","949"
"9","9","blue","487"
"10","10","blue","1526"
"11","11","blue","626"
"12","12","blue","1176"
"13","13","blue","2278"
"14","14","blue","613"
"15","15","blue","857"
"16","16","blue","777"
"17","17","blue","687"
"18","18","blue","687"
"19","19","blue","408"
"20","20","blue","765"
"21","21","blue","953"
"22","22","blue","476"
"23","23","blue","716"
"24","24","blue","646"
"25","25","blue","1406"
"26","26","blue","844"
"27","27","blue","536"
"28","28","blue","670"
"29","29","blue","642"
"30","30","blue","1050"
"31","31","blue","799"
"32","32","blue","1105"
"33","33","blue","877"
"34","34","blue","1483"
"35","35","blue","883"
"36","36","blue","720"
"37","37","blue","1801"
"38","38","blue","817"
"39","39","blue","554"
"40","40","blue","938"
"41","41","blue","432"
"42","42","blue","1283"
"43","43","blue","1017"
"44","44","blue","539"
"45","45","blue","1074"
"46","46","blue","1186"
"47","47","blue","603"
"48","48","blue","527"
"49","49","blue","998"
"50","50","blue","750"
"51","51","blue","662"
"52","52","blue","1209"
"53","53","blue","451"
"54","54","blue","1007"
"55","55","blue","1175"
"56","56","blue","619"
"57","57","blue","893"
"58","58","blue","1083"
"59","59","blue","703"
"60","60","blue","741"
"61","61","blue","644"
"62","62","blue","743"
"63","63","blue","720"
"64","64","blue","631"
"65","65","blue","669"
"66","66","blue","547"
"67","67","blue","953"
"68","68","blue","751"
"69","69","blue","529"
"70","70","blue","437"
"71","71","blue","668"
"72","72","blue","860"
"73","73","blue","501"
"74","74","blue","511"
"75","75","blue","488"
"76","76","blue","500"
"77","77","blue","1093"
"78","78","blue","441"
"79","79","blue","667"
"80","80","blue","959"
"81","81","blue","735"
"82","82","blue","764"
"83","83","blue","545"
"84","84","blue","604"
"85","85","blue","606"
"86","86","blue","526"
"87","87","blue","615"
"88","88","blue","846"
"89","89","blue","1025"
"90","90","blue","854"
"91","91","blue","710"
"92","92","blue","529"
"93","93","blue","564"
"94","94","blue","1645"
"95","95","blue","624"
"96","96","blue","1536"
"97","97","blue","860"
"98","98","blue","677"
"99","99","blue","565"
"100","100","blue","934"
"101","101","red","1375"
"102","102","red","1061"
"103","103","red","653"
"104","104","red","539"
"105","105","red","690"
"106","106","red","757"
"107","107","red","860"
"108","108","red","784"
"109","109","red","722"
"110","110","red","1140"
"111","111","red","1487"
"112","112","red","907"
"113","113","red","1234"
"114","114","red","541"
"115","115","red","891"
"116","116","red","1178"
"117","117","red","667"
"118","118","red","650"
"119","119","red","652"
"120","120","red","687"
"121","121","red","1006"
"122","122","red","1308"
"123","123","red","1077"
"124","124","red","557"
"125","125","red","1099"
"126","126","red","934"
"127","127","red","921"
"128","128","red","365"
"129","129","red","863"
"130","130","red","957"
"131","131","red","799"
"132","132","red","510"
"133","133","red","620"
"134","134","red","433"
"135","135","red","781"
"136","136","red","709"
"137","137","red","649"
"138","138","red","881"
"139","139","red","604"
"140","140","red","1277"
"141","141","red","498"
"142","142","red","853"
"143","143","red","605"
"144","144","red","580"
"145","145","red","543"
"146","146","red","956"
"147","147","red","577"
"148","148","red","1010"
"149","149","red","929"
"150","150","red","1005"
"151","151","red","847"
"152","152","red","590"
"153","153","red","632"
"154","154","red","813"
"155","155","red","1005"
"156","156","red","1317"
"157","157","red","1197"
"158","158","red","823"
"159","159","red","1894"
"160","160","red","777"
"161","161","red","581"
"162","162","red","1628"
"163","163","red","635"
"164","164","red","1121"
"165","165","red","597"
"166","166","red","734"
"167","167","red","754"
"168","168","red","1862"
"169","169","red","570"
"170","170","red","959"
"171","171","red","536"
"172","172","red","712"
"173","173","red","1139"
"174","174","red","1464"
"175","175","red","762"
"176","176","red","544"
"177","177","red","980"
"178","178","red","836"
"179","179","red","541"
"180","180","red","517"
"181","181","red","2053"
"182","182","red","829"
"183","183","red","855"
"184","184","red","684"
"185","185","red","509"
"186","186","red","656"
"187","187","red","693"
"188","188","red","550"
"189","189","red","1114"
"190","190","red","1117"
"191","191","red","700"
"192","192","red","850"
"193","193","red","1514"
"194","194","red","634"
"195","195","red","772"
"196","196","red","1261"
"197","197","red","467"
"198","198","red","493"
"199","199","red","739"
"200","200","red","744"
